band,standard,winner_port,loser_port,selection_reason,global_winner_port,freq_start_ghz,freq_stop_ghz,gamma_abs_median,gamma_abs_min,gamma_abs_max,gamma_mag_db_median,gamma_mag_db_min,gamma_mag_db_max,phase_deg_median,repeatability_mag_db_median,repeatability_mag_db_max,repeatability_phase_deg_median,repeatability_phase_deg_max,sim_complex_error_median,sim_complex_error_p95,sim_mag_db_error_median,sim_mag_db_error_p95,heldout_abs_residual_median,heldout_abs_residual_p95,heldout_abs_residual_max,kappa_median,kappa_max,kappa_pct_below_50,open_short_separation_min,open_load_separation_min,short_load_separation_min,load_real_impedance_min_ohm,load_real_impedance_max_ohm,load_imag_impedance_min_ohm,load_imag_impedance_max_ohm,consistency_open_improvement_median,consistency_short_improvement_median,consistency_load_improvement_median,consistency_sigma_change_median,consistency_thru_error_median,consistency_p34_error_median,z0_ohm
0-67,OPEN,P2,P1,Selected by passivity (P2 better),P2,0.01,67,0.993729336761202,0.978219865043108,1.01008718723081,-0.0546377759952613,-0.191270441192184,0.0871772439498657,0.770634865957853,0.0508629993108833,0.227908596993262,0.450695274381832,1.53989256156175,0.21435627108099,0.462092092152075,0.0557929137395805,0.166309955537613,0.00682178517536919,0.0166247547426167,0.0206248716895179,3.35038114505079,10.5327347564227,100,1.46645709905452,0.88212381044412,0.212937095495188,9.52612096569793,63.8779381567533,-7.29712959440724,16.3047682273281,0.000147956626011136,0.00994525845740413,0.00579592412331469,0.00548816764101234,0.00186243097780545,0.0105521114154141,50
0-67,SHORT,P1,P2,Selected by passivity (P1 better),P2,0.01,67,1.00413315571375,0.486792887891462,1.01820239416638,0.0358261477592691,-6.25311550990996,0.156682277755046,181.440562759619,0.0556899254862229,5.46165317146196,1.07902562827234,7.88380920417331,0.293865344430782,0.522434351002351,0.378956392054151,0.755508736345666,0.00397614432370689,0.00838497134593361,0.0197058996429438,3.35038114505079,10.5327347564227,100,1.46645709905452,0.88212381044412,0.212937095495188,9.52612096569793,63.8779381567533,-7.29712959440724,16.3047682273281,0.000147956626011136,0.00994525845740413,0.00579592412331469,0.00548816764101234,0.00186243097780545,0.0105521114154141,50
0-67,LOAD,P2,P1,Selected by passivity (P2 better),P2,0.01,67,0.0727927257695557,0.0575269359900367,0.685819582083407,-22.7582403576913,-24.802575136579,-3.27580237423326,-19.4793968566348,3.61185053492191,12.254615613924,8.66336345570842,67.1142544365001,0.171789675295604,0.247940900757952,9.36113204972833,13.8811396931968,0.0119451896529326,0.0408144096388192,0.0469170773857598,3.35038114505079,10.5327347564227,100,1.46645709905452,0.88212381044412,0.212937095495188,9.52612096569793,63.8779381567533,-7.29712959440724,16.3047682273281,0.000147956626011136,0.00994525845740413,0.00579592412331469,0.00548816764101234,0.00186243097780545,0.0105521114154141,50
67-115,OPEN,P2,P1,Selected by passivity (P2 better),P2,67,115,0.983725048939357,0.970337438745909,0.997370715152239,-0.14252539751911,-0.261544236302244,-0.0228677541257432,-0.838800201921318,0.431618962686257,0.571704297866528,23.0638433993077,27.7148621561381,0.482313075445024,0.636211064392457,0.127423699524228,0.414775261242003,0.0500275823002816,0.0766675408305017,0.08375750349896,3.73378282533603,3.96826970514412,100,1.97710564076662,0.744269594084823,1.15004832732574,62.3423238590879,78.8573673399826,-17.5378408334723,-12.7403854387631,0.042547332542516,0.0334234673328468,0.0460472988540083,0.0175953655258431,0.00931178153253566,0.0235661773669121,50
67-115,SHORT,P2,P1,Selected by passivity (P2 better),P2,67,115,1.01474369367053,1.00236290384637,1.0360295282896,0.127127219740159,0.0204997121373701,0.307442671707064,-179.646422247159,0.0432236738419516,0.19708294869168,31.2236815820696,50.6786162366837,0.787989018018711,0.905352865407763,0.583492950670707,1.02463044604972,0.038925207993728,0.0651981314197223,0.0714654585269767,3.73378282533603,3.96826970514412,100,1.97710564076662,0.744269594084823,1.15004832732574,62.3423238590879,78.8573673399826,-17.5378408334723,-12.7403854387631,0.042547332542516,0.0334234673328468,0.0460472988540083,0.0175953655258431,0.00931178153253566,0.0235661773669121,50
67-115,LOAD,P1,P2,Selected by passivity (P1 better),P2,67,115,0.213226674370504,0.165578002733558,0.258779068381493,-13.4231693318133,-15.6199472068185,-11.7414170990197,-29.2517269504578,3.02077307002777,3.90902160133698,29.916796329163,40.3749280257991,0.0932875902938247,0.13710208994365,0.99606938375306,2.23511917433619,0.0362387781733792,0.050775297764792,0.0542785564286476,3.73378282533603,3.96826970514412,100,1.97710564076662,0.744269594084823,1.15004832732574,62.3423238590879,78.8573673399826,-17.5378408334723,-12.7403854387631,0.042547332542516,0.0334234673328468,0.0460472988540083,0.0175953655258431,0.00931178153253566,0.0235661773669121,50
110-170,OPEN,P1,P2,Selected by passivity (P1 better),P2,110,170,0.964288174967382,0.903745679074454,0.987357608613186,-0.315863178883174,-0.879075322216195,-0.110510455851817,-0.464276306764946,0.183051665048571,1.05226378692369,7.6859894652485,13.2285404047127,0.882726579935596,1.16119075619782,1.28007169977123,2.48727554406788,0.0520672382225797,0.213077859087301,0.256646814798725,3.91557233078186,5.1696533446062,100,1.72826904273297,0.555357178406615,1.08769095515002,72.0270113799675,106.184774965153,-35.7350475045817,5.81167687408818,-0.0217464413942743,0.108987767886167,0.0396402111769574,0.0107604724669863,0.00899889669963804,0.0115908298380975,50
110-170,SHORT,P2,P1,Selected by passivity (P2 better),P2,110,170,1.00256257384645,0.828583316101293,1.01647850246857,0.0222297630641778,-1.63327631329837,0.141963963307971,-176.954051437908,0.523820078698418,2.86208220591045,2.55371037444144,7.75044630010468,1.0346051639135,1.20180228325867,0.820895156514189,1.31110484469031,0.0451508137397981,0.130770574342317,0.174092599326554,3.91557233078186,5.1696533446062,100,1.72826904273297,0.555357178406615,1.08769095515002,72.0270113799675,106.184774965153,-35.7350475045817,5.81167687408818,-0.0217464413942743,0.108987767886167,0.0396402111769574,0.0107604724669863,0.00899889669963804,0.0115908298380975,50
110-170,LOAD,P2,P1,Selected by passivity (P2 better),P2,110,170,0.218408163698348,0.193210065598049,0.375795604492193,-13.2146226505839,-14.2794050408309,-8.50096607895946,-0.830487433655792,3.58130900740684,6.54705245098058,22.8534268798619,31.7730926050751,0.0703361421785759,0.182800458477436,1.20119006680908,5.15018930951526,0.0356019590468479,0.111036548723159,0.150773455503394,3.91557233078186,5.1696533446062,100,1.72826904273297,0.555357178406615,1.08769095515002,72.0270113799675,106.184774965153,-35.7350475045817,5.81167687408818,-0.0217464413942743,0.108987767886167,0.0396402111769574,0.0107604724669863,0.00899889669963804,0.0115908298380975,50
